FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
ST203,HG04199,HG04100,HG04099,M,STU,SAS
ST006,HG04204,HG03679,HG03642,M,STU,SAS
ST006,HG04215,HG03679,HG03642,M,STU,SAS
IT220,HG04217,HG04198,HG04200,F,ITU,SAS
ST232,HG04228,HG04229,HG04227,M,STU,SAS
1341,NA06991,NA06993,NA06985,F,CEU,EUR
13291,NA06995,NA07435,NA07037,M,CEU,EUR
13291,NA06997,NA06986,NA07045,F,CEU,EUR
13292,NA07014,NA07051,NA07031,F,CEU,EUR
1340,NA07019,NA07022,NA07056,F,CEU,EUR
1340,NA07029,NA06994,NA07000,M,CEU,EUR
1341,NA07048,NA07034,NA07055,M,CEU,EUR
1345,NA07348,NA07357,NA07345,F,CEU,EUR
1345,NA07349,NA07347,NA07346,M,CEU,EUR
1408,NA10830,NA12154,NA12236,M,CEU,EUR
1408,NA10831,NA12155,NA12156,F,CEU,EUR
1416,NA10835,NA12248,NA12249,M,CEU,EUR
1418,NA10836,NA12274,NA12275,F,CEU,EUR
1418,NA10837,NA12272,NA12273,M,CEU,EUR
1420,NA10838,NA12003,NA12004,M,CEU,EUR
1420,NA10839,NA12005,NA12006,F,CEU,EUR
1421,NA10840,NA12286,NA12287,F,CEU,EUR
1423,NA10842,NA11917,NA11918,M,CEU,EUR
1423,NA10843,NA11919,NA11920,F,CEU,EUR
1424,NA10845,NA11930,NA11931,M,CEU,EUR
1334,NA10846,NA12144,NA12145,M,CEU,EUR
1334,NA10847,NA12146,NA12239,F,CEU,EUR
1344,NA10851,NA12056,NA12057,M,CEU,EUR
1346,NA10852,NA12045,NA12046,F,CEU,EUR
1349,NA10854,NA11839,NA11840,F,CEU,EUR
1350,NA10855,NA11831,NA11832,F,CEU,EUR
1350,NA10856,NA11829,NA11830,M,CEU,EUR
1346,NA10857,NA12043,NA12044,M,CEU,EUR
1347,NA10859,NA11881,NA11882,F,CEU,EUR
1362,NA10860,NA11992,NA11993,M,CEU,EUR
1362,NA10861,NA11994,NA11995,F,CEU,EUR
1375,NA10863,NA12264,NA12234,F,CEU,EUR
1377,NA10864,NA11893,NA11894,F,CEU,EUR
1377,NA10865,NA11891,NA11892,M,CEU,EUR
1328,NA12329,NA06984,NA06989,F,CEU,EUR
1330,NA12335,NA12340,NA12341,M,CEU,EUR
1330,NA12336,NA12342,NA12343,F,CEU,EUR
13281,NA12344,NA12347,NA12348,M,CEU,EUR
1353,NA12376,NA12546,NA12489,F,CEU,EUR
1354,NA12386,NA12399,NA12400,F,CEU,EUR
1355,NA12485,NA12413,NA12414,M,CEU,EUR
1358,NA12707,NA12716,NA12717,M,CEU,EUR
1444,NA12739,NA12748,NA12749,M,CEU,EUR
1444,NA12740,NA12750,NA12751,F,CEU,EUR
1447,NA12752,NA12760,NA12761,M,CEU,EUR
1447,NA12753,NA12762,NA12763,F,CEU,EUR
1451,NA12766,NA12775,NA12776,M,CEU,EUR
1451,NA12767,NA12777,NA12778,F,CEU,EUR
1454,NA12801,NA12812,NA12813,M,CEU,EUR
