FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
BB12,HG01987,HG01990,HG02012,M,ACB,AFR
PEL29,HG01993,HG01991,HG01992,F,PEL,AMR
PEL31,HG01998,HG02008,HG01997,M,PEL,AMR
PEL33,HG02004,HG02002,HG02003,F,PEL,AMR
BB13,HG02011,HG02009,HG02010,M,ACB,AFR
VN046,HG02015,HG02017,HG02016,M,KHV,EAS
VN047,HG02018,HG02020,HG02019,F,KHV,EAS
VN049,HG02024,HG02026,HG02025,F,KHV,EAS
VN050,HG02027,HG02029,HG02028,M,KHV,EAS
VN051,HG02030,HG02032,HG02031,M,KHV,EAS
BB15,HG02055,HG02053,HG02054,M,ACB,AFR
VN060,HG02056,HG02058,HG02057,M,KHV,EAS
VN061,HG02059,HG02061,HG02060,F,KHV,EAS
VN064,HG02068,HG02070,HG02069,F,KHV,EAS
VN065,HG02071,HG02073,HG02072,M,KHV,EAS
VN066,HG02074,HG02076,HG02075,M,KHV,EAS
VN067,HG02077,HG02079,HG02078,M,KHV,EAS
VN068,HG02080,HG02082,HG02081,F,KHV,EAS
VN069,HG02083,HG02085,HG02084,M,KHV,EAS
PEL35,HG02091,HG02090,HG02089,F,PEL,AMR
PEL38,HG02106,HG02104,HG02105,F,PEL,AMR
VN076,HG02120,HG02122,HG02121,M,KHV,EAS
VN078,HG02126,HG02128,HG02127,F,KHV,EAS
VN079,HG02129,HG02131,HG02130,M,KHV,EAS
VN080,HG02132,HG02134,HG02133,M,KHV,EAS
VN081,HG02135,HG02137,HG02136,M,KHV,EAS
BB20,HG02145,HG02143,HG02144,M,ACB,AFR
PEL39,HG02148,HG02146,HG02147,F,PEL,AMR
IBS056,HG02222,HG02221,HG02220,F,IBS,EUR
IBS057,HG02225,HG02224,HG02223,F,IBS,EUR
IBS059,HG02229,HG02231,HG02230,F,IBS,EUR
IBS060,HG02234,HG02233,HG02232,M,IBS,EUR
IBS061,HG02237,HG02236,HG02235,F,IBS,EUR
IBS062,HG02240,HG02238,HG02239,F,IBS,EUR
BB21,HG02257,HG02255,HG02256,F,ACB,AFR
BB22,HG02258,HG02314,HG02315,M,ACB,AFR
PEL42,HG02261,HG02259,HG02260,M,PEL,AMR
PEL46,HG02273,HG02271,HG02272,F,PEL,AMR
PEL48,HG02279,HG02277,HG02278,M,PEL,AMR
BB23,HG02280,HG02307,HG02308,F,ACB,AFR
PEL49,HG02287,HG02285,HG02286,F,PEL,AMR
PEL51,HG02293,HG02291,HG02292,F,PEL,AMR
PEL52,HG02300,HG02299,HG02298,M,PEL,AMR
PEL53,HG02303,HG02302,HG02301,F,PEL,AMR
BB27,HG02316,HG02317,HG02318,M,ACB,AFR
BB24,HG02321,HG02281,HG02282,F,ACB,AFR
BB46,HG02451,HG02449,HG02450,F,ACB,AFR
GB15,HG02463,HG02461,HG02462,M,GWD,AFR
GB16,HG02466,HG02464,HG02465,M,GWD,AFR
PK06,HG02492,HG02490,HG02491,M,PJL,SAS
PK07,HG02495,HG02493,HG02494,F,PJL,SAS
VN087,HG02514,HG02512,HG02513,M,KHV,EAS
VN090,HG02523,HG02521,HG02522,F,KHV,EAS
VN91,HG02526,HG02524,HG02525,F,KHV,EAS
GB18,HG02563,HG02561,HG02562,M,GWD,AFR
GB21,HG02572,HG02570,HG02571,M,GWD,AFR
GB22,HG02575,HG02573,HG02574,M,GWD,AFR
GB23,HG02584,HG02582,HG02583,M,GWD,AFR
GB24,HG02587,HG02585,HG02586,F,GWD,AFR
GB25,HG02590,HG02588,HG02589,M,GWD,AFR
GB27,HG02596,HG02594,HG02595,M,GWD,AFR
PK09,HG02602,HG02600,HG02601,M,PJL,SAS
PK10,HG02605,HG02603,HG02604,F,PJL,SAS
GB28,HG02612,HG02610,HG02611,M,GWD,AFR
GB29,HG02615,HG02613,HG02614,F,GWD,AFR
GB31,HG02622,HG02620,HG02621,F,GWD,AFR
GB32,HG02625,HG02623,HG02624,M,GWD,AFR
GB33,HG02630,HG02628,HG02629,F,GWD,AFR
GB35,HG02636,HG02634,HG02635,M,GWD,AFR
GB37,HG02644,HG02642,HG02643,M,GWD,AFR
GB38,HG02647,HG02645,HG02646,M,GWD,AFR
PK11,HG02650,HG02648,HG02649,M,PJL,SAS
PK12,HG02653,HG02651,HG02652,F,PJL,SAS
PK13,HG02656,HG02654,HG02655,M,PJL,SAS
PK14,HG02659,HG02657,HG02658,F,PJL,SAS
PK15,HG02662,HG02660,HG02661,F,PJL,SAS
GB40,HG02668,HG02666,HG02667,M,GWD,AFR
GB43,HG02677,HG02675,HG02676,F,GWD,AFR
GB44,HG02680,HG02678,HG02679,F,GWD,AFR
PK16,HG02683,HG02681,HG02682,F,PJL,SAS
PK17,HG02686,HG02684,HG02685,M,PJL,SAS
PK18,HG02689,HG02687,HG02688,M,PJL,SAS
PK19,HG02692,HG02690,HG02691,F,PJL,SAS
PK21,HG02698,HG02696,HG02697,M,PJL,SAS
PK22,HG02701,HG02699,HG02700,M,PJL,SAS
GB45,HG02704,HG02702,HG02703,F,GWD,AFR
GB50,HG02717,HG02715,HG02716,M,GWD,AFR
GB52,HG02723,HG02721,HG02722,F,GWD,AFR
PK23,HG02726,HG02724,HG02725,F,PJL,SAS
PK24,HG02729,HG02727,HG02728,M,PJL,SAS
PK26,HG02735,HG02733,HG02734,M,PJL,SAS
PK27,HG02738,HG02736,HG02737,M,PJL,SAS
GB54,HG02761,HG02759,HG02760,F,GWD,AFR
GB55,HG02764,HG02762,HG02763,M,GWD,AFR
GB57,HG02770,HG02768,HG02769,F,GWD,AFR
GB58,HG02773,HG02771,HG02772,M,GWD,AFR
PK28,HG02776,HG02774,HG02775,F,PJL,SAS
PK31,HG02785,HG02783,HG02784,F,PJL,SAS
PK32,HG02788,HG02786,HG02787,F,PJL,SAS
PK33,HG02791,HG02789,HG02790,M,PJL,SAS
PK34,HG02794,HG02792,HG02793,M,PJL,SAS
GB60,HG02800,HG02798,HG02799,M,GWD,AFR
GB62,HG02806,HG02804,HG02805,F,GWD,AFR
GB63,HG02809,HG02807,HG02808,F,GWD,AFR
GB64,HG02812,HG02810,HG02811,M,GWD,AFR
GB65,HG02815,HG02813,HG02814,M,GWD,AFR
GB66,HG02818,HG02816,HG02817,F,GWD,AFR
GB67,HG02821,HG02819,HG02820,M,GWD,AFR
GB73,HG02838,HG02836,HG02837,M,GWD,AFR
GB74,HG02841,HG02839,HG02840,F,GWD,AFR
GB78,HG02853,HG02851,HG02852,M,GWD,AFR
GB79,HG02856,HG02854,HG02855,M,GWD,AFR
GB81,HG02862,HG02860,HG02861,F,GWD,AFR
GB84,HG02871,HG02869,HG02870,F,GWD,AFR
GB87,HG02880,HG02878,HG02879,F,GWD,AFR
GB88,HG02883,HG02881,HG02882,M,GWD,AFR
GB89,HG02886,HG02884,HG02885,F,GWD,AFR
GB90,HG02889,HG02887,HG02888,F,GWD,AFR
GB91,HG02892,HG02890,HG02891,M,GWD,AFR
GB93,HG02897,HG02895,HG02896,F,GWD,AFR
NG06,HG02924,HG02923,HG02922,M,ESN,AFR
NG13,HG02945,HG02944,HG02943,F,ESN,AFR
NG14,HG02948,HG02947,HG02946,M,ESN,AFR
NG16,HG02954,HG02953,HG02952,M,ESN,AFR
NG20,HG02966,HG02965,HG02964,M,ESN,AFR
NG22,HG02972,HG02971,HG02970,M,ESN,AFR
NG23,HG02975,HG02973,HG02974,M,ESN,AFR
NG24,HG02978,HG02977,HG02976,F,ESN,AFR
NG25,HG02980,HG02981,HG02979,M,ESN,AFR
GB97,HG02984,HG02982,HG02983,M,GWD,AFR
BD01,HG03008,HG03006,HG03007,M,BEB,SAS
PK35,HG03017,HG03015,HG03016,M,PJL,SAS
GB105,HG03026,HG03024,HG03025,F,GWD,AFR
