HG00597	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988799/HG00597.final.cram	Asian
HG00609	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram	Asian
HG00612	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988801/HG00612.final.cram	Asian
HG00615	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988802/HG00615.final.cram	Asian
HG00621	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988803/HG00621.final.cram	Asian
HG00627	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988804/HG00627.final.cram	Asian
HG00630	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988805/HG00630.final.cram	Asian
HG00635	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988806/HG00635.final.cram	Asian
HG00636	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988807/HG00636.final.cram	Asian
HG00639	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988808/HG00639.final.cram	Unknown
HG00642	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988809/HG00642.final.cram	Unknown
HG00652	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988810/HG00652.final.cram	Asian
HG00655	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988811/HG00655.final.cram	Asian
HG00658	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram	Asian
HG00664	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988813/HG00664.final.cram	Asian
HG00673	https://1000genomes.s3.us-east-1.amazonaws.com/1000G_2504_high_coverage/additional_698_related/data/ERR3988814/HG00673.final.cram	Asian
